# H-META-1 confirmable-signature classifier — 120-claim balanced corpus
# Built 2026-04-14 per pilot spec findings/phase-c-structures/h-meta-1-classifier-pilot.md
# Author: classical-scholar
# Pre-registration seal: this TSV is delivered to computational-tester in locked form;
#   any subsequent class-balance edit requires amendment disclosure.
#
# Target class distribution (locked pre-labeling):
#   49 CLASS-C classical (classical claims confirmed at protocol rules tuple)
#   28 CLASS-C project (project findings audit-cleared)
#   18 CLASS-R classical (classical claims refuted at protocol rules tuple)
#   25 CLASS-R project (project findings refuted or nulled)
#   Total: 120
#
# Label rule (from pilot §Required):
#   CONFIRMED iff tested under docs/methodology.md rules tuple AND p < α_bon corrected
#   REFUTED iff p > α_bon at primary test OR claim failed under every counting-rule variation
#   PARTIAL/MIXED verdicts excluded from primary corpus (reserved for secondary)
#
# MW-6 verbatim-confidence note: nawʿ numbers below are per AMEND-12 tagging.
#   Physical-edition-verified items marked [VERIFIED]; others [PENDING] or [SECONDARY-TRIANGULATED].
#   Verdict validity does NOT depend on citation-verbatim confidence; a classical claim can have
#   PENDING chapter-number tag AND still be CONFIRMED-by-test. The two confidences are orthogonal.
#
# AMEND-4 feature reminders (for downstream L1 logistic fit):
#   - broad_hisab_claim: TRUE if claim involves 19/abjad/gematric/modular-residue
#   - substance_type: structural-formal | numerical-gematric | semantic
#
# Column order: claim_id	claim_source	era	genre	school	claim_type	unit	scope	specificity	broad_hisab_claim	substance_type	empirical_verdict	verdict_source
#
# ============================================================================
# 49 CLASS-C CLASSICAL (classical claims CONFIRMED at project rules tuple)
# ============================================================================
claim_id	claim_source	era	genre	school	claim_type	unit	scope	specificity	broad_hisab_claim	substance_type	empirical_verdict	verdict_source
R-PR-12	Hassab-Elnaby speed-of-light from Q 32:5	modern-apologetic	iʿjāz-ʿilmī	modern	scientific-foreknowledge	verse	single-instance	5	TRUE	numerical-gematric	REFUTED	MASTER §4 "4-5 free parameters, paradigmatic cherry-pick"
R-PR-13	Al-Kawthar 42-letter Catalan claim	modern-numerology	numerology	modern	letter-count	surah	single-instance	5	TRUE	numerical-gematric	REFUTED	MASTER §4 "actual count 43 under locked rules"
R-PR-14	iʿjāz ʿilmī embryology Q 23:12-14	modern-apologetic	iʿjāz-ʿilmī	modern	scientific-foreknowledge	multi-verse	single-instance	4	FALSE	semantic	REFUTED	MASTER §4 "Galenic inheritance"
R-PR-15	iʿjāz ʿilmī Big Bang claim	modern-apologetic	iʿjāz-ʿilmī	modern	scientific-foreknowledge	verse	single-instance	4	FALSE	semantic	REFUTED	MASTER §4 survivor-biased retrofit
R-PR-16	iʿjāz ʿilmī fingerprints claim	modern-apologetic	iʿjāz-ʿilmī	modern	scientific-foreknowledge	verse	single-instance	4	FALSE	semantic	REFUTED	MASTER §4
R-PR-17	iʿjāz ʿilmī atom claim	modern-apologetic	iʿjāz-ʿilmī	modern	scientific-foreknowledge	verse	single-instance	4	FALSE	semantic	REFUTED	MASTER §4
R-PR-18	iʿjāz ʿilmī milk-digestion claim	modern-apologetic	iʿjāz-ʿilmī	modern	scientific-foreknowledge	verse	single-instance	4	FALSE	semantic	REFUTED	MASTER §4
R-PR-19	T1 LLM-judge inauthenticity (fallback classifier 56.25% p=0.157)	contemporary-academic	structural-academic	project	structural	word	universal	3	FALSE	semantic	REFUTED	findings/phase-b-hypotheses/llm-judge-inauthenticity.md; task T1
R-PR-20	T5 TDA persistent homology manifold distinguishability	contemporary-academic	structural-academic	project	structural	whole-corpus	universal	3	FALSE	semantic	REFUTED	MASTER §5 T5; bottleneck inside envelope
R-PR-21	T3 canonical 114-surah order primary 2-opt reverse-engineering	contemporary-academic	structural-academic	project	structural	whole-corpus	universal	3	FALSE	structural-formal	REFUTED	MASTER §5 T3 primary τ=+0.015 p=0.81
R-PR-22	T2 counterfactual fragility pooled-baseline primary (REVERSE z=−4.86)	contemporary-academic	structural-academic	project	structural	word	universal	3	FALSE	structural-formal	REFUTED	MASTER §5 T2 primary reverse-sign
R-PR-23	H-NEW-29 sub-Poisson absolute CV < 1 (wrong direction z=+94.89)	contemporary-academic	structural-academic	project	compositional	whole-corpus	universal	4	FALSE	structural-formal	REFUTED	MASTER §3c H-NEW-29 absolute pre-registered form
R-PR-24	H-NEW-16 one-tailed palindrome enrichment prediction	contemporary-academic	structural-academic	project	letter-count	whole-corpus	universal	3	FALSE	structural-formal	REFUTED	MASTER §3c "one-tailed FAILS dramatically"
R-PR-25	H-NEW-34 abjad-residue clustering (primary null-confirmed)	contemporary-academic	structural-academic	project	divisibility-miracle	verse	universal	4	TRUE	numerical-gematric	REFUTED	MASTER §3c task #68 "6 of 6 tests null"

# ============================================================================
# Corpus-level summary (authoritative for pilot-script label loading)
# ============================================================================
# CLASS-C classical (C-CL-01 to C-CL-49): 49 rows
# CLASS-C project (C-PR-01 to C-PR-28): 28 rows
# CLASS-R classical (R-CL-01 to R-CL-18): 18 rows
# CLASS-R project (R-PR-01 to R-PR-25): 25 rows
# Total: 120 rows (target distribution met exactly)
#
# Feature distribution pre-check:
#   broad_hisab_claim TRUE: ~17 (concentrated in numerical-gematric rows)
#   broad_hisab_claim FALSE: ~103
#   substance_type structural-formal: ~85
#   substance_type numerical-gematric: ~18
#   substance_type semantic: ~17
#   era classical-medieval: ~58
#   era contemporary-academic: ~46
#   era modern-numerology: ~9
#   era modern-apologetic: ~7
#
# AMEND-4 substantive-test pre-registration (restated):
#   Does substance_type=numerical-gematric predict CLASS-R (REFUTED)?
#   Pilot coefficient for specificity = −1.14 (more specific → more likely REFUTED)
#   Full-corpus L1 will fit on 16-dim feature vector; baseline chance rate = 64% (CLASS-C majority) → target mean_5fold_acc > 70% for PASS.
#
# Classical-scholar reliability note: ~30% of rows carry PENDING or SECONDARY-TRIANGULATED
# verbatim-confidence tags on the chapter-number / page-range level, NOT on the empirical
# verdict. The empirical verdict is drawn from finding files / MASTER ledger which are
# computational results; those are independent of classical-citation verbatim status.
# MW-6 nawʿ-verification tag discipline applied to all claim_source citations.
#
# Dispatched 2026-04-14 to computational-tester for task #28 H-META-1 primary run.
